City Name,Population,ZipCode
SEATTLE,733919,98103
NEWCASTLE,322278,98056
NEWCASTLE,322278,98059
HOBART MAPLE VALLEY,234250,98038
DES MOINES,212031,98198
DES MOINES,212031,98148
BELLEVUE,149440,98006
BELLEVUE,149440,98007
BELLEVUE,149440,98005
BELLEVUE,149440,98008
KENT,134835,98032
KENT,134835,98030
KENT,134835,98031
RENTON,105179,98057
RENTON,105179,98055
RENTON,105179,98058
FEDERAL WAY,99037,98023
FEDERAL WAY,99037,98003
KIRKLAND,92107,98033
KIRKLAND,92107,98034
AUBURN,78564,98092
AUBURN,78564,98002
REDMOND,76354,98052
REDMOND,76354,98053
SAMMAMISH,66630,98074
SAMMAMISH,66630,98075
SHORELINE,57918,98133
BURIEN,51073,98146
BOTHELL,47784,98011
ISSAQUAH,39505,98027
ISSAQUAH,39505,98029
SEATAC,30759,98188
SEATAC,30759,98158
MEDINA,25934,98039
MERCER ISLAND,25442,98040
KENMORE,23502,98028
TUKWILA,21615,98168
TUKWILA,21615,98178
SNOQUALMIE,13810,98065
WOODINVILLE,13425,98072
WOODINVILLE,13425,98077
LAKE FOREST PARK,13358,98155
ENUMCLAW,12733,98022
VASHON ISLAND,10400,98070
NORTH BEND,10285,98045
DUVALL,8410,98019
PACIFIC,7105,98047
NORMANDY PARK,6637,98166
BLACK DIAMOND,5839,98010
COVINGTON,5717,98042
ALGONA,5336,98001
CLYDE HILL,3108,98004
CARNATION,2167,98014
FALL CITY,1068,98024
RAVENSDALE,814,98051
SNOQUALMIE PASS,395,98068
SKYKOMISH,159,98288
BARING,124,98224
