,city,inspection_date,number_name
0,ALGONA,92,8
1,AUBURN,5154,313
2,BARING,4,1
3,BELLEVUE,9669,660
4,BELLINGHAM,1,1
5,BLACK DIAMOND,304,28
6,BOTHELL,1536,92
7,BURIEN,2630,182
8,CARNATION,505,28
9,CLYDE HILL,73,5
10,COVINGTON,1318,63
11,DES MOINES,1267,78
12,DUVALL,622,42
13,ENUMCLAW,1553,98
14,EVERETT,27,2
15,FALL CITY,209,12
16,FEDERAL WAY,7953,389
17,HOBART MAPLE VALLEY,1758,87
18,ISSAQUAH,3256,210
19,KENMORE,971,51
20,KENT,8509,521
21,KIRKLAND,5412,381
22,LAKE FOREST PARK,493,30
23,LAKEWOOD,1,1
24,LYNNWOOD,5,1
25,MAPLE VALLEY,1739,86
26,MEDINA,111,6
27,MERCER ISLAND,927,59
28,MONROE,12,2
29,MOUNT VERNON,2,1
30,MUKILTEO,8,4
31,NEWCASTLE,554,31
32,NORMANDY PARK,233,15
33,NORTH BEND,977,76
34,PACIFIC,238,12
35,PRESTON,59,3
36,PUYALLUP,6,4
37,RAVENSDALE,59,3
38,REDMOND,5980,405
39,RENTON,7461,484
40,SAMMAMISH,1359,73
41,SEATAC,1503,134
43,SEATTLE,72697,4415
44,SHORELINE,2900,165
45,SKYKOMISH,134,12
46,SNOHOMISH,13,5
47,SNOQUALMIE,645,60
48,SNOQUALMIE PASS,166,8
49,TACOMA,69,10
50,TUKWILA,3758,315
51,VASHON,32,1
52,VASHON ISLAND,769,46
53,WEST SEATTLE,5,1
54,WOODINVILLE,2412,230
