,name,latitude,longitude,close_count
9,13 COINS,47.4415898055,-122.2957679697,1
131,7-ELEVEN STORE #2361-27283C,47.3971024285,-122.3233650406,1
330,AL'S GOURMET SAUSAGE #5,47.5984533304,-122.3323348755,1
640,ART MARBLE 21,47.6264294442,-122.3394555156,1
658,ASIA BBQ & FAST FOOD,47.5990191164,-122.3246907414,1
1032,BEEZNEEZ GOURMET SAUSAGE (KC287),47.66839033,-122.38700242,1
1100,BEST CORN #1,47.515381328,-122.3542315059,1
1218,BLACKSTAR KEBAB (KC938),47.68311275,-122.34415944,1
1397,BROS TERIYAKI,47.56120838,-122.33871695,1
1449,BURBS BURGER (KC799),47.61549,-122.33867,1
1679,CALLED A CHICKEN,47.6594427226,-122.3135082937,1
1801,CARMELO'S TACOS CHERRY ST,47.60787319,-122.31610787,1
1892,CEDARS BROOKLYN DELI,47.6647601947,-122.3145025841,1
2044,CHINESE SAUERKRAUT FISH,47.63091446,-122.1382505,1
2055,CHIPOTLE MEXICAN GRILL #2228,47.620313,-122.338158,1
2089,CHOPSTICKS CUISINE,47.6827802535,-122.2908020767,1
2100,CHU MINH TOFU & VEGETARIAN DELI,47.59892502,-122.31777709,1
2103,CHUCK E CHEESE'S #305,47.6305963582,-122.144986728,1
2112,CHURCH'S CHICKEN,47.3168909961,-122.3138339473,1
2318,COURTYARD BY MARRIOTT - STARBUCKS,47.6175354422,-122.1933247999,1
2340,CRAVE BY SUITE J (KC332),47.6101723,-122.30810111,1
2344,CRAWFISH HOUSE,47.5147222306,-122.3548452481,1
2612,DIRTY DOG (KC299),47.66045532,-122.33683416,1
2726,DONG TING CHUN,47.6702594057,-122.1190957372,1
2899,EL CAMION,47.5770886135,-122.333809016,1
3228,FEAST,47.47650541,-122.2180219,1
3341,FOODY MOODY,47.5145463,-122.35678523,1
3411,FREMONT BOWL,47.65899513,-122.34973392,1
3521,GERALDINE'S COUNTER,47.5580634666,-122.2848553581,1
3679,GREAT WESTERN PACIFIC,47.6060981453,-122.3415068584,1
3708,GRILL CITY,47.459854,-122.256074,1
3770,HABIT BURGER,47.66259258,-122.369415,1
3774,"HABIT BURGER GRILL, THE",47.54401,-122.01984,1
3789,HALLAVA FALAFEL,47.55030874,-122.31819755,1
3928,HIGHLAND CHEVRON,47.732010832,-122.3551805704,1
4031,HONG KONG BISTRO,47.5980125119,-122.3254441732,1
4176,IKIIKI,47.7589193719,-122.2528484404,1
4210,INDIAN CURRY PALACE,47.4500840228,-122.2626580044,1
4717,KFC #327,47.316749583,-122.2218835578,1
4870,KURA REVOLVING SUSHI BAR BELLEVUE,47.61191,-122.18488,1
4941,LA PINA/TRES HERMANOS,47.679183377,-122.1685583949,1
4975,LADYBUG ESPRESSO,47.37885014,-122.29780898,1
4981,LADYBUG ESPRESSO,47.5097308003,-122.3553335239,1
5035,LARI ADDA  - KC875,47.5402164,-122.0412939,1
5293,LUNCHBOX LABORATORY,47.61909503,-122.19139619,1
5375,MAHARAJA CUSINE OF INDIA,47.5616308503,-122.3865515174,1
5410,MANCHU WOK AT SEA-TAC,47.44362,-122.30228,1
5512,MAYURI FOODS -,47.6325125248,-122.1369298595,1
5520,MAZATLAN RESTAURANT,47.1993603665,-121.9672609835,1
5581,MCDONALD'S RESTAURANT 0459,47.66791283,-122.3733457762,1
